tic_id,label,status,period,period_unc,t0,depth,depth_ppm,duration_days,duration_hr,sde,snr,odd_even_mismatch,n_transits,detected,secondary_depth_ppm,has_secondary
443616612,Transit,ok,4.75074,0.01605,2284.8582,0.993046,6954.2,0.01956,0.469,5.16,6.275,2.1884,5,False,3563.4,0
35857242,Transit,ok,3.63484,0.02299,1413.3159,0.993192,6808.2,0.09924,2.382,15.913,49.463,0.956,7,True,3225.9,0
123309556,Transit,ok,7.27355,0.03153,2397.5072,0.997567,2432.9,0.07927,1.903,5.502,6.501,,3,False,863.3,0
437242640,Transit,ok,4.31639,0.01425,1546.4297,0.994114,5885.9,0.03174,0.762,26.892,25.844,0.6653,6,True,1626.8,1
184240683,Transit,ok,1.62918,0.0044,1355.5005,0.9893,10699.8,0.04227,1.014,21.374,53.074,0.7313,16,True,3344.0,1
168281028,Transit,ok,4.37332,0.02456,2991.4385,0.997307,2693.0,0.12487,2.997,16.559,18.58,0.7925,6,True,1325.5,1
104866616,Transit,ok,4.46124,0.02452,3481.3606,0.99269,7309.9,0.0969,2.326,16.947,52.387,0.934,6,True,3462.8,1
146364192,Transit,ok,6.8241,0.03746,2092.9476,0.998246,1753.7,0.11123,2.67,8.516,17.236,9.9945,4,True,907.8,0
348755728,Transit,ok,10.94604,0.12593,2255.7648,0.984796,15204.3,0.16098,3.864,9.371,29.028,6.9571,3,True,8308.6,0
8599009,Transit,ok,2.88131,0.00781,3481.3754,0.992154,7845.7,0.03937,0.945,23.597,53.463,0.8358,9,True,2552.6,1
441420236,Transit,ok,4.5775,0.03165,1330.3889,0.998448,1552.3,0.08327,1.999,7.133,15.233,7.7255,5,True,647.9,0
116156517,Transit,ok,5.36304,0.04228,2092.7643,0.994757,5242.6,0.1581,3.794,14.593,43.604,0.1129,4,True,2469.6,0
81247740,Transit,ok,1.36368,0.00291,2666.0885,0.993295,6705.5,0.02854,0.685,20.392,66.501,1.5851,19,True,3501.4,1
308073360,Transit,ok,11.8818,0.09732,2530.1632,0.994809,5191.1,0.17311,4.155,17.071,30.301,0.3291,2,True,2425.9,0
368435330,Transit,ok,3.64561,0.01572,1902.8713,0.999254,746.3,0.08295,1.991,12.227,15.122,0.299,7,True,353.6,1
455135327,Transit,ok,2.81084,0.00818,1491.9148,0.990333,9667.1,0.05527,1.327,25.043,126.386,0.7432,9,True,4277.3,1
404340025,Transit,ok,2.67616,0.01036,1597.0363,0.98764,12359.5,0.11352,2.724,21.261,144.047,0.2278,11,True,6436.1,1
281196902,Transit,ok,5.54,0.03277,2914.2508,0.994264,5735.9,0.11307,2.714,16.504,30.055,0.0157,5,True,2947.1,1
394050135,Transit,ok,8.87213,0.03283,2391.1867,0.995022,4977.7,0.12331,2.959,19.577,42.965,0.0491,4,True,3058.0,1
459762279,Transit,ok,8.7958,0.03427,3313.0618,0.985108,14891.8,0.09304,2.233,18.985,18.491,0.0518,4,True,8434.1,1
456862677,Transit,ok,7.62737,0.03007,2451.6274,0.994361,5638.7,0.06887,1.653,13.224,20.007,15.4369,3,True,2016.5,0
392476080,Transit,ok,0.67271,0.00152,2718.7263,0.994221,5778.8,0.02655,0.637,23.422,73.068,0.9308,37,True,0.0,0
347329162,Transit,ok,4.61544,0.02498,1902.7209,0.990784,9215.9,0.1126,2.702,17.619,57.938,2.2344,6,True,4078.7,0
375942197,Transit,ok,3.89909,0.02278,2797.7005,0.995961,4039.1,0.20302,4.873,15.045,39.324,0.0972,7,True,2087.6,0
257774438,Transit,ok,9.48399,0.07038,2455.8467,0.999202,797.9,0.1454,3.49,5.984,12.896,5.865,2,False,399.3,0
154220877,Transit,ok,2.00409,0.00574,3341.531,0.977774,22225.8,0.04522,1.085,16.781,12.623,0.5045,13,True,12070.9,1
102264230,Transit,ok,4.15785,0.02647,2449.3497,0.990371,9628.6,0.09749,2.34,17.295,49.12,0.0782,6,True,4222.2,0
75878355,Transit,ok,9.2376,0.04905,2010.6832,0.998628,1371.9,0.11551,2.772,22.475,30.861,0.8925,3,True,762.4,1
311133118,Transit,ok,3.50891,0.01279,2666.8535,0.98476,15240.0,0.03845,0.923,20.275,89.086,0.0065,8,True,9399.4,1
124573851,Transit,ok,3.94403,0.02556,1546.1396,0.999226,773.9,0.10617,2.548,11.406,11.376,0.6219,6,True,324.8,0
18310799,Transit,ok,11.48141,0.04045,2511.6642,0.998109,1890.9,0.06096,1.463,7.505,13.066,5.8053,2,True,883.8,0
268403451,Transit,ok,2.86244,0.00798,1985.8398,0.997538,2461.7,0.02768,0.664,24.045,15.309,0.7227,9,True,544.6,1
203189770,Transit,ok,3.61045,0.0105,2420.2754,0.994061,5939.1,0.02769,0.664,20.389,12.904,,8,True,1040.7,0
5882269,Transit,ok,4.80104,0.02063,2474.9671,0.998123,1876.6,0.07299,1.752,9.534,7.364,0.6247,5,True,1276.9,1
230001847,Transit,ok,2.99581,0.02503,2392.6729,0.999477,522.6,0.22614,5.427,10.708,8.596,0.6219,9,True,411.0,0
289661991,Transit,ok,2.90035,0.00769,2580.4983,0.996974,3026.3,0.0507,1.217,19.039,18.044,0.2832,10,True,1743.0,1
84339983,Transit,ok,2.79254,0.01002,2475.6006,0.99281,7189.8,0.05664,1.359,18.24,45.467,0.2453,9,True,3044.1,1
229455001,Transit,ok,0.95995,0.00178,1684.2189,0.999734,265.9,0.00506,0.121,5.764,4.859,0.4617,28,False,0.0,0
198385543,Transit,ok,3.92882,0.01252,1768.0295,0.998343,1657.0,0.04819,1.157,5.494,6.6,0.1097,6,False,972.1,0
114749636,Transit,ok,4.59962,0.02579,2089.5084,0.994267,5733.0,0.16216,3.892,15.039,41.56,0.0828,6,True,3127.1,0
284613090,EB,ok,11.5537,0.05385,1498.4143,0.992233,7767.0,0.04461,1.071,26.89,37.873,0.1783,2,True,2597.8,0
39018208,EB,ok,6.6481,0.03951,1327.9248,0.996932,3067.8,0.10358,2.486,15.475,24.259,0.0414,4,True,1379.9,0
266816672,EB,ok,0.60599,0.00223,1386.0503,0.894404,105595.9,0.04904,1.177,14.988,58.222,0.1403,34,True,0.0,0
52641430,EB,ok,0.83564,0.00182,1468.286,0.994178,5821.6,0.04322,1.037,22.436,149.571,17.3621,27,True,0.0,0
137310514,EB,ok,4.05151,0.01517,1683.9225,0.984034,15966.5,0.1613,3.871,21.664,198.89,0.2659,7,True,10280.3,1
13684720,EB,ok,12.42913,0.05421,1695.0177,0.957736,42264.3,0.04948,1.188,22.613,40.956,1.3362,2,True,23767.8,1
368334916,EB,ok,0.77594,0.00136,1956.022,0.99834,1660.1,0.00815,0.196,4.533,4.441,0.316,34,False,0.0,0
160228595,EB,ok,1.0456,0.0015,1683.9034,0.995288,4711.7,0.01747,0.419,21.91,34.724,1.2174,26,True,4711.7,1
388244501,EB,ok,2.11935,0.02903,1598.2232,0.998934,1066.1,0.23312,5.595,6.6,36.578,0.3335,13,True,1142.5,0
231629787,EB,ok,0.79986,0.00168,1325.6177,0.804622,195377.7,0.04493,1.078,18.102,54.695,0.1858,35,True,0.0,0
167717848,EB,ok,5.06461,0.04161,1438.3365,0.989003,10997.1,0.25134,6.032,13.947,53.081,4.3325,6,True,5607.7,0
237117591,EB,ok,6.79372,0.03674,1962.4559,0.997956,2044.5,0.04867,1.168,14.801,14.593,5.0635,3,True,682.0,0
439458951,EB,ok,0.62218,0.00231,1386.1531,0.980017,19983.1,0.06142,1.474,12.192,47.565,0.0928,33,True,0.0,0
256640561,EB,ok,0.8602,0.00248,1764.7941,0.989985,10015.2,0.0887,2.129,21.14,269.801,26.5795,29,True,0.0,0
92902951,EB,ok,1.12364,0.00752,1570.6897,0.952608,47391.5,0.09257,2.222,11.877,80.159,,23,True,47391.5,1
259070502,EB,ok,11.18697,0.14163,1495.2879,0.999126,874.1,0.30737,7.377,15.638,89.454,33.9545,2,True,398.7,0
122446076,EB,ok,0.75952,0.00391,1683.9409,0.985768,14232.3,0.0658,1.579,10.924,56.582,5.0286,35,True,0.0,0
380645083,EB,ok,4.38593,0.01345,1658.9539,0.992933,7067.4,0.04383,1.052,22.951,80.521,0.3113,6,True,2803.6,1
438071843,EB,ok,2.62207,0.01463,1470.5282,0.99155,8449.9,0.07731,1.855,16.067,77.261,1.6855,8,True,4729.7,1
284891601,EB,ok,0.62056,0.00199,1683.4418,0.99818,1819.6,0.06971,1.673,15.269,60.212,1.0837,44,True,0.0,0
263078276,EB,ok,0.70986,0.00143,1325.6381,0.722161,277838.6,0.04234,1.016,17.476,53.032,7.1795,39,True,0.0,0
464838153,EB,ok,1.9358,0.00838,1469.722,0.93483,65169.6,0.06655,1.597,19.514,85.032,7.7738,11,True,27825.2,1
152592870,EB,ok,1.02765,0.00302,1411.3354,0.795803,204197.4,0.04974,1.194,16.651,49.082,0.0081,25,True,204197.4,1
438790187,EB,ok,2.09914,0.00999,1597.7089,0.996387,3613.2,0.08299,1.992,14.983,52.333,2.9504,13,True,1727.4,1
50191648,EB,ok,1.06983,0.0034,1791.4994,0.980935,19065.2,0.06971,1.673,20.555,155.66,,22,True,19065.2,1
